,Unnamed: 0,Loja,Gerente,E-mail
0,0,Iguatemi Esplanada,Helena,dev.daniel.amorim+helena@gmail.com
1,1,Shopping Midway Mall,Alice,dev.daniel.amorim+alice@gmail.com
2,2,Norte Shopping,Laura,dev.daniel.amorim+laura@gmail.com
3,3,Shopping Iguatemi Fortaleza,Manuela,dev.daniel.amorim+manuela@gmail.com
4,4,Shopping União de Osasco,Valentina,dev.daniel.amorim+valentina@gmail.com
5,5,Shopping Center Interlagos,Sophia,dev.daniel.amorim+sophia@gmail.com
6,6,Rio Mar Recife,Isabella,dev.daniel.amorim+isabella@gmail.com
7,7,Salvador Shopping,Heloisa,dev.daniel.amorim+heloisa@gmail.com
8,8,Rio Mar Shopping Fortaleza,Luiza,dev.daniel.amorim+luiza@gmail.com
9,9,Shopping Center Leste Aricanduva,Julia,dev.daniel.amorim+julia@gmail.com
10,10,Ribeirão Shopping,Lorena,dev.daniel.amorim+lorena@gmail.com
11,11,Shopping Morumbi,Livia,dev.daniel.amorim+livia@gmail.com
12,12,Parque Dom Pedro Shopping,Maria Luiza,dev.daniel.amorim+maria_luiza@gmail.com
13,13,Bourbon Shopping SP,Cecilia,dev.daniel.amorim+cecilia@gmail.com
14,14,Palladium Shopping Curitiba,Eloa,dev.daniel.amorim+eloa@gmail.com
15,15,Passei das Águas Shopping,Miguel,dev.daniel.amorim+miguel@gmail.com
16,16,Center Shopping Uberlândia,Arthur,dev.daniel.amorim+arthur@gmail.com
17,17,Shopping Recife,Heitor,dev.daniel.amorim+heitor@gmail.com
18,18,Shopping Vila Velha,Bernardo,dev.daniel.amorim+bernardo@gmail.com
19,19,Shopping SP Market,Davi,dev.daniel.amorim+davi@gmail.com
20,20,Shopping Eldorado,Theo,dev.daniel.amorim+theo@gmail.com
21,21,Shopping Ibirapuera,Lorenzo,dev.daniel.amorim+lorenzo@gmail.com
22,22,Novo Shopping Ribeirão Preto,Gabriel,dev.daniel.amorim+gabriel@gmail.com
23,23,Iguatemi Campinas,Pedro,dev.daniel.amorim+pedro@gmail.com
24,24,Shopping Barra,Benjamin,dev.daniel.amorim+benjamin@gmail.com
25,25,Diretoria,Diretoria,dev.daniel.amorim+diretoria@gmail.com
